nr,city,title,description,tags,location,contact,latitude,longitude,geo
5,Civitella Roveto,P.A. Croce Verde Civitella Roveto (AQ),"Servizio di consegna a domicilio di farmaci e beni di prima necessità per le categorie più a rischio (anziani, affetti da patologie croniche, immunodepress) residenti nella Valle Roveto.", Pronto farmaci e/o spesa,"41.916026, 13.426898","This is a post from ANPAS.
See https://anpas.ushahidi.io/posts/5 for details.",41.916026,13.426898,
6,Alba Adriatica,P.A. Croce Bianca Alba Adriatica (TE),Consegna farmaci nel territorio del comune di Alba Adriatica in collaborazione con il Centro Operativo Comunale., Pronto farmaci e/o spesa,"42.834342, 13.927816","This is a post from ANPAS.
See https://anpas.ushahidi.io/posts/6 for details.",42.834342,13.927816,
7,Teramo,P.A. Croce Bianca Teramo (TE),"Consegna a domicilio di farmaci e generi alimentari sul territorio di Teramo, in collaborazione con il Centro Operativo Comunale.", Pronto farmaci e/o spesa,"42.658118, 13.699625","This is a post from ANPAS.
See https://anpas.ushahidi.io/posts/7 for details.",42.658118,13.699625,
8,Mosciano Sant'Angelo,P.A. Soccorso Amico di Mosciano Sant'Angelo (TE),"Consegna a domicilio di farmaci e beni di prima necessità nel territorio di Mosciano Sant'Angelo, in collaborazione con il Centro Operativo Comunale.", Pronto farmaci e/o spesa,"42.746847, 13.888296","This is a post from ANPAS.
See https://anpas.ushahidi.io/posts/8 for details.",42.746847,13.888296,
9,Pineto,P.A. Pros Pineto (TE),Consegna farmaci sul territorio di Pineto in collaborazione con il Centro Operativo Comunale., Pronto farmaci e/o spesa,"42.607318, 14.067329","This is a post from ANPAS.
See https://anpas.ushahidi.io/posts/9 for details.",42.607318,14.067329,
10,Castellalto,P.A. Croce Gialla Vomano (TE),"Consegna a domicilio di farmaci e generi alimentari sul territorio di Castellalto, in collaborazione con il Centro Operativo Comunale.", Pronto farmaci e/o spesa,"42.629129, 13.850844","This is a post from ANPAS.
See https://anpas.ushahidi.io/posts/10 for details.",42.629129,13.850844,
11,Martinsicuro,P.A. Croce Verde Villa Rosa (TE),"Consegna a domicilio di farmaci nel territorio di Martinsicuro, in collaborazione con il Centro Operativo Comunale.", Pronto farmaci e/o spesa,"42.850987, 13.921552","This is a post from ANPAS.
See https://anpas.ushahidi.io/posts/11 for details.",42.850987,13.921552,
12,Morro D'oro,P.A. Protezione civile Morro D'Oro (TE),"Consegna a domicilio di farmaci, generi alimentari e mangimi per animali sul territorio di Morro d'oro, in collaborazione con il Centro Operativo Comunale.", Pronto farmaci e/o spesa,"42.663744, 13.919497","This is a post from ANPAS.
See https://anpas.ushahidi.io/posts/12 for details.",42.663744,13.919497,
13,Ocre,P.A. Protezione Civile di Ocre (AQ),"Servizio di SPESA e FARMACI a domicilio in collaborazione con il Comune di Ocre, per anziani e coloro che non possono muoversi di casa. Servizio è ATTIVO il MARTEDÌ e il VENERDÌ. Telefonare il giorno precedente entro le ore 16 e 30", Pronto farmaci e/o spesa,"42.277404, 13.468165","This is a post from ANPAS.
See https://anpas.ushahidi.io/posts/13 for details.",42.277404,13.468165,
14,Montereale,P.A. Montereale (AQ),"Servizio di consegna a domicilio farmaci e spesa in collaborazione con il Comune, esteso a tutti gli anziani e pazienti con pluripatologia (dal lunedì al venerdì) sul territorio di Montereale e Capitignano.", Pronto farmaci e/o spesa,"42.525095, 13.244072","This is a post from ANPAS.
See https://anpas.ushahidi.io/posts/14 for details.",42.525095,13.244072,
15,Villamagna,P.A. Teate Soccorso (CH),"Consegna farmaci, generi alimentari o beni di prima necessità per i cittadini del territorio di Chieti costretti a rimanere a casa. Il servizio si può richiedere dal lunedì al sabato fino alle ore 20.00.", Pronto farmaci e/o spesa,"42.328941, 14.23611","This is a post from ANPAS.
See https://anpas.ushahidi.io/posts/15 for details.",42.328941,14.23611,
16,Citta' Sant'Angelo,P.A. Croce Angolana (PE),"Consegna a domicilio di farmaci, spesa e beni di prima necessità sul territorio di Città S.Angelo in collaborazione con il Centro Operativo Comunale.", Pronto farmaci e/o spesa,"42.518144, 14.059203","This is a post from ANPAS.
See https://anpas.ushahidi.io/posts/16 for details.",42.518144,14.059203,
17,San Martino Buon Albergo,Croce Blu Verona,consegna a domicilio di farmaci e beni di prima necessità, Pronto farmaci e/o spesa,"45.421687, 11.09689","This is a post from ANPAS.
See https://anpas.ushahidi.io/posts/17 for details.",45.421687,11.09689,
18,Valtournenche,Pubblica assistenza Valtournenche,consegna a domicilio di farmaci e beni di prima necessità, Pronto farmaci e/o spesa,"45.876979, 7.622792","This is a post from ANPAS.
See https://anpas.ushahidi.io/posts/18 for details.",45.876979,7.622792,
19,Gaiba,Croce Blu Gaiba,consegna a domicilio di farmaci e beni di prima necessità, Pronto farmaci e/o spesa,"44.946179, 11.480207","This is a post from ANPAS.
See https://anpas.ushahidi.io/posts/19 for details.",44.946179,11.480207,
20,San Giustino,Croce Bianca Tifernate,"consegna a domicilio di spesa, farmaci, beni di prima necessità e sacchi raccolta differenziata", Pronto farmaci e/o spesa,"43.549024, 12.175575","This is a post from ANPAS.
See https://anpas.ushahidi.io/posts/20 for details.",43.549024,12.175575,
21,Bussi sul tirino,P.A. Bussi Soccorso (PE),Consegna farmaci sul territorio di Bussi sul Tirino in collaborazione con la farmacia comunale e i medici di base., Pronto farmaci e/o spesa,"42.213035, 13.826202","This is a post from ANPAS.
See https://anpas.ushahidi.io/posts/21 for details.",42.213035,13.826202,
22,Spoleto,Croce Verde Spoleto,consegna a domicilio farmaci e beni di prima necessità, Pronto farmaci e/o spesa,"42.735512, 12.736336","This is a post from ANPAS.
See https://anpas.ushahidi.io/posts/22 for details.",42.735512,12.736336,
23,Colle di Val D'Elsa,Associazione Pubblica Assistenza Colle di Val D'Elsa,"consegna a domicilio di spesa, farmaci e beni di prima necessità", Pronto farmaci e/o spesa,"43.422646, 11.126394","This is a post from ANPAS.
See https://anpas.ushahidi.io/posts/23 for details.",43.422646,11.126394,
24,Scandicci,P. A. Humanitas Scandicci,"consegna a domicilio di spesa, farmaci e beni di prima necessità", Pronto farmaci e/o spesa,"43.75671, 11.184762","This is a post from ANPAS.
See https://anpas.ushahidi.io/posts/24 for details.",43.75671,11.184762,
25,Villasimius,Volontari Soccorso Villasimius Costa Sud Est,consegna a domicilio di farmaci e beni di prima necessità, Pronto farmaci e/o spesa,"39.14314, 9.520854","This is a post from ANPAS.
See https://anpas.ushahidi.io/posts/25 for details.",39.14314,9.520854,
26,Pagani,Papa Charlie Pagani,Servizio di consegna a domicilio di farmaci e beni di prima necessità, Pronto farmaci e/o spesa,"40.769428, 14.597793","This is a post from ANPAS.
See https://anpas.ushahidi.io/posts/26 for details.",40.769428,14.597793,
27,Grottaminarda,Pubblica Assistenza Grottaminarda,Servizio di consegna a domicilio di farmaci e beni di prima necessità. Mattina orario 10-12 Pomeriggio 16-18, Pronto farmaci e/o spesa,"41.06972, 15.058945","This is a post from ANPAS.
See https://anpas.ushahidi.io/posts/27 for details.",41.06972,15.058945,
28,Simaxis,AVS Simaxis,consegna a domicilio farmaci e beni di prima necessità, Pronto farmaci e/o spesa,"39.930347, 8.692127","This is a post from ANPAS.
See https://anpas.ushahidi.io/posts/28 for details.",39.930347,8.692127,
29,Roma,K9 Rescue Italia Roma,Servizio di consegna a domicilio di farmaci e beni di prima necessità, Pronto farmaci e/o spesa,"41.89332, 12.482932","This is a post from ANPAS.
See https://anpas.ushahidi.io/posts/29 for details.",41.89332,12.482932,
30,Badesi,Croce Azzurra Badesi,consegna a domicilio di farmaci e beni di prima necessità, Pronto farmaci e/o spesa,"40.965069, 8.884216","This is a post from ANPAS.
See https://anpas.ushahidi.io/posts/30 for details.",40.965069,8.884216,
31,Osilo,AVPC Protezione Civile Osilo,consegna a domicilio di farmaci e beni di prima necessità, Pronto farmaci e/o spesa,"40.744063, 8.671115","This is a post from ANPAS.
See https://anpas.ushahidi.io/posts/31 for details.",40.744063,8.671115,
32,Casalgrande,EMA Ambulanze Casalgrande,"In collaborazione con l’associazione Giovani Boglioni, il Comune e gli Alpini. Servizio spesa a domicilio, ritiro dei farmaci, svolgimento di piccole commissioni quotidiane per anziani e le persone fragili o in difficoltà. Lunedì, mercoledì e venerdì dalle 9 alle 12.", Pronto farmaci e/o spesa,"44.588009, 10.737321","This is a post from ANPAS.
See https://anpas.ushahidi.io/posts/32 for details.",44.588009,10.737321,
33,Gadoni,AVPC Gadoni,consegna a domicilio di farmaci e beni di prima necessità, Pronto farmaci e/o spesa,"39.913451, 9.185837","This is a post from ANPAS.
See https://anpas.ushahidi.io/posts/33 for details.",39.913451,9.185837,
34,Lanusei,A. V. L. Lanusei,consegna a domicilio di farmaci e beni di prima necessità, Pronto farmaci e/o spesa,"39.878571, 9.541077","This is a post from ANPAS.
See https://anpas.ushahidi.io/posts/34 for details.",39.878571,9.541077,
35,Castelnuovo Rangone,Croce Blu di Modena,In collaborazione con Aiutiamoci - Rete di solidarietà di Modena per servizio di consegna a domicilio di farmaci e beni di prima necessità., Pronto farmaci e/o spesa,"44.538473, 10.935961","This is a post from ANPAS.
See https://anpas.ushahidi.io/posts/35 for details.",44.538473,10.935961,
36,Gonnosfanadiga,P. A. Livas Gonnosfanadiga,consegna a domicilio di farmaci e beni di prima necessità, Pronto farmaci e/o spesa,"39.495915, 8.662398","This is a post from ANPAS.
See https://anpas.ushahidi.io/posts/36 for details.",39.495915,8.662398,
37,Maranello,Associazione Volontari Assistenza Pubblica Maranello,Servizio di consegna a domicilio di farmaci e beni di prima necessità, Pronto farmaci e/o spesa,"44.525522, 10.866361","This is a post from ANPAS.
See https://anpas.ushahidi.io/posts/37 for details.",44.525522,10.866361,
38,Ghilarza,P. A. Lasa Ghilarza,consegna a domicilio di farmaci e beni di prima necessità, Pronto farmaci e/o spesa,"40.119652, 8.834927","This is a post from ANPAS.
See https://anpas.ushahidi.io/posts/38 for details.",40.119652,8.834927,
39,Orani,Croce Verde Orani,consegna a domicilio di farmaci e beni di prima necessità, Pronto farmaci e/o spesa,"40.248344, 9.182835","This is a post from ANPAS.
See https://anpas.ushahidi.io/posts/39 for details.",40.248344,9.182835,
40,Basiglio,Croce Amica Basiglio,"Servizio di consegna di farmaci a domicilio, in collaborazione con il Comune di Basiglio e servizio di consegna della spesa a domicilio, in collaborazione con la Protezione Civile e il supermercato Viaggiator Goloso di Milano 3", Pronto farmaci e/o spesa,"45.349152, 9.164589","This is a post from ANPAS.
See https://anpas.ushahidi.io/posts/40 for details.",45.349152,9.164589,
41,Orgosolo,Croce Verde Orgosolo,consegna a domicilio di farmaci e beni di prima necessità, Pronto farmaci e/o spesa,"40.176265, 9.395592","This is a post from ANPAS.
See https://anpas.ushahidi.io/posts/41 for details.",40.176265,9.395592,
42,Quartu Sant'Elena,SOS Quartu Sant'Elena,consegna a domicilio di farmaci e beni di prima necessità, Pronto farmaci e/o spesa,"39.213331, 9.344894","This is a post from ANPAS.
See https://anpas.ushahidi.io/posts/42 for details.",39.213331,9.344894,
43,Enna,Ente Corpo Volontari Protezione Civile Enna,Servizio di consegna a domicilio di farmaci e beni di prima necessità, Pronto farmaci e/o spesa,"37.566757, 14.280747","This is a post from ANPAS.
See https://anpas.ushahidi.io/posts/43 for details.",37.566757,14.280747,
44,Cerami,VOS Cerami,consegna a domicilio di farmaci e beni di prima necessità, Pronto farmaci e/o spesa,"37.810654, 14.507273","This is a post from ANPAS.
See https://anpas.ushahidi.io/posts/44 for details.",37.810654,14.507273,
45,Prizzi,Pubblica Assistenza AVISP Prizzi,"Insieme al Comune di Prizzi e a CRI servizio di assistenza a domicilio per le necessità più urgenti rivolto ai cittadini anziani e i disabili, senza un sostegno familiare.", Pronto farmaci e/o spesa,"37.721454, 13.431265","This is a post from ANPAS.
See https://anpas.ushahidi.io/posts/45 for details.",37.721454,13.431265,
46,Barcellona pozzo di Gotto,Protezione Civile Barcellona,"Assistenza domiciliare per le persone sole, in difficoltà o in quarantena, limitatamente a beni di prima necessità e farmaci.", Pronto farmaci e/o spesa,"38.147045, 15.213897","This is a post from ANPAS.
See https://anpas.ushahidi.io/posts/46 for details.",38.147045,15.213897,
47,Paternò,A.P.A.S. Paternò,Servizio di consegna a domicilio di farmaci e beni di prima necessità, Pronto farmaci e/o spesa,"37.56707, 14.905352","This is a post from ANPAS.
See https://anpas.ushahidi.io/posts/47 for details.",37.56707,14.905352,
48,Agira,P. A. Agira,consegna a domicilio di farmaci e beni di prima necessità, Pronto farmaci e/o spesa,"37.656151, 14.521575","This is a post from ANPAS.
See https://anpas.ushahidi.io/posts/48 for details.",37.656151,14.521575,
49,Trapani,P. A. Il soccorso Trapani,consegna a domicilio di farmaci e beni di prima necessità, Pronto farmaci e/o spesa,"38.017432, 12.515992","This is a post from ANPAS.
See https://anpas.ushahidi.io/posts/49 for details.",38.017432,12.515992,
50,Leonforte,Corpo Volontari Protezione Civile Leonforte,Servizio di consegna a domicilio di farmaci e beni di prima necessità., Pronto farmaci e/o spesa,"37.641421, 14.397383","This is a post from ANPAS.
See https://anpas.ushahidi.io/posts/50 for details.",37.641421,14.397383,
51,Castelvetrano,Angeli per la vita,consegna a domicilio di farmaci e beni di prima necessità, Pronto farmaci e/o spesa,"37.682851, 12.795534","This is a post from ANPAS.
See https://anpas.ushahidi.io/posts/51 for details.",37.682851,12.795534,
52,Rosignano Marittimo,"Pubblica Assistenza Rosignano - Rete ""Spesa amica a casa""","Restare a casa!!! Questa è la raccomandazione principale da fare a tutti! Soprattutto anziani e soggetti a rischio.
Per poter venire incontro a questa situazione la Pubblica Assistenza ha contattato alcuni esercizi disponibili a svolgere la consegna domiciliare di generi alimentari. Gli esercizi sono su questa mappa nella categoria ""Spesa amica a casa"""," Pronto farmaci e/o spesa, Spesa amica a casa","43.405913, 10.434905","This is a post from ANPAS.
See https://anpas.ushahidi.io/posts/52 for details.",43.405913,10.434905,
53,Rosignano Marittimo,Panificio Pane E Companatico Alimentari,"Aderisce alla Rete ""Spesa amica a casa"" riferimento Pubblica Assistenza Rosignano", Spesa amica a casa,"43.397343, 10.454217","This is a post from ANPAS.
See https://anpas.ushahidi.io/posts/53 for details.",43.397343,10.454217,
54,Rosignano Marittimo,Alimentari Pieraccioni Monica,"Aderisce alla Rete ""Spesa amica a casa"" riferimento Pubblica Assistenza Rosignano", Spesa amica a casa,"43.389249, 10.456034","This is a post from ANPAS.
See https://anpas.ushahidi.io/posts/54 for details.",43.389249,10.456034,
55,Rosignano Marittimo,Alimentari in Dispensa,"Aderisce alla Rete ""Spesa amica a casa"" riferimento Pubblica Assistenza Rosignano", Spesa amica a casa,"43.398164, 10.443804","This is a post from ANPAS.
See https://anpas.ushahidi.io/posts/55 for details.",43.398164,10.443804,
56,Rosignano Marittimo,Alimentari la Bottega di Zoe,"Aderisce alla Rete ""Spesa amica a casa"" riferimento Pubblica Assistenza Rosignano", Spesa amica a casa,"43.392431, 10.429078","This is a post from ANPAS.
See https://anpas.ushahidi.io/posts/56 for details.",43.392431,10.429078,
57,Rosignano Marittimo,L'Angolo della frutta di Orioli M.,"Aderisce alla Rete ""Spesa amica a casa"" riferimento Pubblica Assistenza Rosignano", Spesa amica a casa,"43.395623, 10.440693","This is a post from ANPAS.
See https://anpas.ushahidi.io/posts/57 for details.",43.395623,10.440693,
58,Rosignano Marittimo,Cavoli Vostri Frutta e verdura,"Aderisce alla Rete ""Spesa amica a casa"" riferimento Pubblica Assistenza Rosignano", Spesa amica a casa,"43.394223, 10.427692","This is a post from ANPAS.
See https://anpas.ushahidi.io/posts/58 for details.",43.394223,10.427692,
59,Pisa,PA Pisa - Servizio consegna spesa e farmaci a domicilio,"E’ stato attivato il servizio di consegna di farmaci e spesa a domicilio per persone con difficoltà residenti nei comuni di Pisa, San Giuliano Terme e Vecchiano.", Pronto farmaci e/o spesa,"43.709998, 10.429255","This is a post from ANPAS.
See https://anpas.ushahidi.io/posts/59 for details.",43.709998,10.429255,
71,Alcamo,Soccorso Alcamo,Acquisto farmaci e beni di prima necessità, Pronto farmaci e/o spesa,"37.982566, 12.963009","This is a post from ANPAS.
See https://anpas.ushahidi.io/posts/71 for details.",37.982566,12.963009,
72,Santa Croce Camerina,Associazione Volontari del Soccorso,Acquisto beni di prima necessità, Pronto farmaci e/o spesa,"36.827254, 14.527817","This is a post from ANPAS.
See https://anpas.ushahidi.io/posts/72 for details.",36.827254,14.527817,
73,Petralia Sottana,Pubblica assistenza Interland madonita,"Attivo servizio di taxi farmaco a Petralia Soprana e Petralia Sottana in collaborazione con i comuni e le farmacie Abate, La Cara e Del Borgo", Pronto farmaci e/o spesa,"37.809982, 14.090522","This is a post from ANPAS.
See https://anpas.ushahidi.io/posts/73 for details.",37.809982,14.090522,
74,Tremestieri etneo,Coordinamento provinciale Catania,Acquisto beni di prima necessità e taxi farmaco, Pronto farmaci e/o spesa,"37.569334, 15.065876","This is a post from ANPAS.
See https://anpas.ushahidi.io/posts/74 for details.",37.569334,15.065876,
75,Santo Stefano di Camastra,Protezione civile Santo Stefano di Camastra,Acquisto beni di prima necessità e farmaci, Pronto farmaci e/o spesa,"38.011513, 14.351086","This is a post from ANPAS.
See https://anpas.ushahidi.io/posts/75 for details.",38.011513,14.351086,
76,Genova,P. A. Croce Bianca Genovese,"Servizio di consegna gratuita a domicilio della spesa per gli over 65 nei quartieri di Genova Foce, Albaro, Carignano e Centro", Pronto farmaci e/o spesa,"44.399364, 8.952989","This is a post from ANPAS.
See https://anpas.ushahidi.io/posts/76 for details.",44.399364,8.952989,
77,Bozen,Croce Bianca Bolzano - Weißen Kreuzes Bozen,Servizio Spesa provinciale della Croce Bianca - Landesweiten Einkaufdienstes des Weißen Kreuzes, Pronto farmaci e/o spesa,"46.498462, 11.306413","This is a post from ANPAS.
See https://anpas.ushahidi.io/posts/77 for details.",46.498462,11.306413,
78,Rosignano Marittimo,Orto e giardino,"Aderisce alla Rete ""Spesa amica a casa"" riferimento Pubblica Assistenza Rosignano", Spesa amica a casa,"43.394388, 10.433012","This is a post from ANPAS.
See https://anpas.ushahidi.io/posts/78 for details.",43.394388,10.433012,
79,Rosignano Marittimo,L'Ortofrutta di Bilanceri P.,"Aderisce alla Rete ""Spesa amica a casa"" riferimento Pubblica Assistenza Rosignano", Spesa amica a casa,"43.391601, 10.429947","This is a post from ANPAS.
See https://anpas.ushahidi.io/posts/79 for details.",43.391601,10.429947,
80,Rosignano Marittimo,Panificio Giaconi,"Aderisce alla Rete ""Spesa amica a casa"" riferimento Pubblica Assistenza Rosignano", Spesa amica a casa,"43.392785, 10.431614","This is a post from ANPAS.
See https://anpas.ushahidi.io/posts/80 for details.",43.392785,10.431614,
81,Rosignano Marittimo,Panificio F.lli Bandini,"Aderisce alla Rete ""Spesa amica a casa"" riferimento Pubblica Assistenza Rosignano", Spesa amica a casa,"43.395195, 10.446633","This is a post from ANPAS.
See https://anpas.ushahidi.io/posts/81 for details.",43.395195,10.446633,
82,Rosignano Marittimo,Panificio Antichi sapori,"Aderisce alla Rete ""Spesa amica a casa"" riferimento Pubblica Assistenza Rosignano", Spesa amica a casa,"43.398081, 10.437563","This is a post from ANPAS.
See https://anpas.ushahidi.io/posts/82 for details.",43.398081,10.437563,
83,Rosignano Marittimo,Pasticceria Cucchiara,"Aderisce alla Rete ""Spesa amica a casa"" riferimento Pubblica Assistenza Rosignano", Spesa amica a casa,"43.391169, 10.430621","This is a post from ANPAS.
See https://anpas.ushahidi.io/posts/83 for details.",43.391169,10.430621,
84,Rosignano Marittimo,Tarallucci e Vino,"Aderisce alla Rete ""Spesa amica a casa"" riferimento Pubblica Assistenza Rosignano", Spesa amica a casa,"43.388033, 10.435094","This is a post from ANPAS.
See https://anpas.ushahidi.io/posts/84 for details.",43.388033,10.435094,
85,Rosignano Marittimo,Macelleria da Claudio e Raffaele,"Aderisce alla Rete ""Spesa amica a casa"" riferimento Pubblica Assistenza Rosignano", Spesa amica a casa,"43.391494, 10.437621","This is a post from ANPAS.
See https://anpas.ushahidi.io/posts/85 for details.",43.391494,10.437621,
86,Rosignano Marittimo,Macelleria Guglielmi Giacomo,"Aderisce alla Rete ""Spesa amica a casa"" riferimento Pubblica Assistenza Rosignano", Spesa amica a casa,"43.391764, 10.429346","This is a post from ANPAS.
See https://anpas.ushahidi.io/posts/86 for details.",43.391764,10.429346,
87,Rosignano Marittimo,L'Artigiano del Suino di Francalacci A.,"Aderisce alla Rete ""Spesa amica a casa"" riferimento Pubblica Assistenza Rosignano", Spesa amica a casa,"43.393073, 10.429951","This is a post from ANPAS.
See https://anpas.ushahidi.io/posts/87 for details.",43.393073,10.429951,
88,Rosignano Marittimo,Salumi e formaggi di Fabio dell'Olmo,"Aderisce alla Rete ""Spesa amica a casa"" riferimento Pubblica Assistenza Rosignano", Spesa amica a casa,"43.395144, 10.443197","This is a post from ANPAS.
See https://anpas.ushahidi.io/posts/88 for details.",43.395144,10.443197,
89,Rosignano Marittimo,Torrefazione Tirrenia,"Aderisce alla Rete ""Spesa amica a casa"" riferimento Pubblica Assistenza Rosignano", Spesa amica a casa,"43.396777, 10.445714","This is a post from ANPAS.
See https://anpas.ushahidi.io/posts/89 for details.",43.396777,10.445714,
90,Rosignano Marittimo,Ghiottopizza,"Aderisce alla Rete ""Spesa amica a casa"" riferimento Pubblica Assistenza Rosignano", Spesa amica a casa,"43.394726, 10.430034","This is a post from ANPAS.
See https://anpas.ushahidi.io/posts/90 for details.",43.394726,10.430034,
91,Rosignano Marittimo,Pescheria Acqua Marina,"Aderisce alla Rete ""Spesa amica a casa"" riferimento Pubblica Assistenza Rosignano", Spesa amica a casa,"43.391931, 10.429742","This is a post from ANPAS.
See https://anpas.ushahidi.io/posts/91 for details.",43.391931,10.429742,
92,Rosignano Marittimo,Lavanderia Self Wash a domicilio,"Aderisce alla Rete ""Spesa amica a casa"" riferimento Pubblica Assistenza Rosignano", Spesa amica a casa,"43.393288, 10.440406","This is a post from ANPAS.
See https://anpas.ushahidi.io/posts/92 for details.",43.393288,10.440406,
94,Rosignano Marittimo,Alimentari Manuela,"Aderisce alla Rete ""Spesa amica a casa"" riferimento Pubblica Assistenza Rosignano", Spesa amica a casa,"43.406266, 10.471335","This is a post from ANPAS.
See https://anpas.ushahidi.io/posts/94 for details.",43.406266,10.471335,
